Class,AngleCh1,AreaCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,ConvexHullAreaRatioCh1,ConvexHullPerimRatioCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EqCircDiamCh1,EqEllipseLWRCh1,EqEllipseOblateVolCh1,EqEllipseProlateVolCh1,EqSphereAreaCh1,EqSphereVolCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberLengthCh1,FiberWidthCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,LengthCh1,NeighborAvgDistCh1,NeighborMinDistCh1,NeighborVarDistCh1,PerimCh1,ShapeBFRCh1,ShapeLWRCh1,ShapeP2ACh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SpotFiberCountCh3,SpotFiberCountCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,WidthCh1,XCentroid,YCentroid
WS,13.66667082,424,174.3555556,389.4271605,38.76296296,126.7283951,1.038461538,0.972515602,67.2513089,27.18848168,84.14136126,7.383121093,5.247166758,5.997839699,23.24886395,1.465172033,806.9532878,550.7566822,1698.061224,6579.665732,1.524701213,1.539923498,20.24908351,20.24908351,0.095391688,0.093600421,4.302936641,3.941435082,5.518709824,5.550418603,0.300791557,0.300791557,-0.625392634,-0.358350177,-0.531553952,28.2843602,334.728367,28.66666667,130.4604379,80.99633405,0.757457412,1.427439088,1.197254911,-0.569138209,0.765362039,0.818637844,1,5,70614,157314,15699,51325,67.84402591,40.92972732,139.87506,19.81475808,473,15
WS,109.4164263,256,18.82857143,126.9387755,13.6,46.8,1.081871345,0.92045952,28.02004454,14.87082405,32.69710468,5.383272179,4.151182729,6.194034574,18.08244974,1.378747851,368.3096529,267.1334375,1027.222222,3095.782368,1.364235988,1.480868569,22.29743378,12.0578761,0.108161298,0.00995183,6.160584593,10.5906854,5.04406683,7.126899928,0.315315315,0.058558559,-0.364691438,1.083332859,-0.626270376,23.05546837,263.634513,38.43037849,88.50410555,68.71061976,0.634791385,1.313936897,1.397364141,0.546737216,1.432363175,0.703800653,0,6,4613,30856,3332,11466,13.92293659,18.64302682,40.33174675,17.54686121,211,495
PS,52.205447,236,18.19026549,6.327433628,17.08849558,1.911504425,1.292657704,0.801362221,28.52040816,16.91326531,5.918367347,5.293390631,4.993778488,2.423697808,17.36714555,3.378319315,510.7807921,151.1937577,947.5600907,2742.735669,1,1,43.64275725,5.806208572,0.005475966,0.103488064,38.7715625,11.704375,7.739264771,4.512366738,0.020833333,0.295,-0.001236013,-0.098206892,0.287658057,34.75542552,204.2606731,29.31744313,78.31229081,98.89793165,0.545333065,2.780739345,3.071547013,0.631169446,0.186035384,1.210159243,0,7,4111,1205,3862,432,12.26925407,9.362472181,2.578184592,12.4986276,347,252
PS,92.90146416,187,40.24022346,214.1899441,44.19553073,136.2513966,1.035230352,0.979602852,32.11585366,25.6097561,90.27439024,5.929335697,6.055302632,6.821640777,15.45612922,1.535489469,242.7305936,158.0802725,750.5011338,1933.307084,1.625985633,1.732745917,13.70787509,13.70787509,0.009545651,0.008644145,16.4210957,16.47091531,7.236605805,7.142451565,0.065868263,0.035928144,-0.930684432,-0.588572009,6.774121264,18.71588916,190.955266,23.90107399,75.44312187,54.83150036,0.796836011,1.487642307,1.237123683,-0.082839744,0.086415591,2.001881962,2,5,7203,38162,7911,24389,21.24513357,23.86205192,101.3952851,12.58090677,229,277
PS,104.278654,258,17.5708502,125.3684211,22.46153846,71.20647773,1.075728155,0.931300186,27.87610619,16.11946903,36.18584071,5.18427761,5.486224638,6.624639016,18.15610565,1.616052888,403.6405276,249.7693798,1035.60771,3133.767164,1.359418412,1.244307808,26.52855663,10.17423916,0.013034881,0.00896299,9.402056404,10.30152761,6.957487102,7.144783788,0.073913043,0.034782609,-0.556261231,-0.512318606,-0.647157527,26.31960384,231.1529454,29.84892041,103.4581205,73.40559159,0.557002198,1.490322717,1.588657528,0.443092384,0.555675494,0.137225245,1,5,4340,30720,5548,17588,12.32497056,17.74714262,41.92853326,17.66033862,172,207
PS,77.99194293,358,42.28362573,218.1315789,42.32163743,67.54093567,1.037830121,0.961269792,43.309375,43.365625,56.04375,6.136582657,5.870026948,5.995699341,21.36423161,1.468210244,626.8373045,426.9397433,1433.918367,5105.760685,1.478963805,1.466576856,25.12695833,14.61088609,0.024982639,0.044225099,11.84107694,8.084775898,6.794863681,6.361635058,0.140127389,0.199386503,-0.261787171,0.809501426,0.728679348,27.80420845,213.9487107,11.44653846,105.150592,79.47568883,0.663542429,1.430952882,1.369114247,0.256518283,1.071093986,1.045446205,1,6,14461,74260,14474,23099,20.95647734,42.31636004,66.96570928,19.43055484,276,385
PS,13.65997247,158,31.41059603,103.2119205,41.49006623,116.1192053,1.379310345,0.896038691,38.45038168,37.64885496,74.92366412,5.756260909,5.814347432,6.121377485,14.19589238,1.477693688,184.4926974,124.8517868,633.1043084,1497.913437,1.724509883,1.597204583,27.63248638,6.050329865,0.012319717,0.020887482,11.91357809,6.154895105,6.796919987,6.485465186,0.068181818,0.113636364,-0.365908061,-0.278824669,-0.707398536,20.56691127,228.9701266,17.4047619,112.5612256,67.36563249,0.442380807,1.182276747,2.16005758,0.418079473,0.881334809,0.725883897,4,5,4743,15435,6265,17534,20.5858794,40.65309019,109.6436085,17.39602113,239,404
WS,23.07106593,313,215.4113712,569.9130435,150.6521739,378.6120401,1.040257649,0.957661757,73.87410072,78.32014388,191.5539568,7.468858845,6.813520181,7.540135135,19.9760593,1.762458011,561.4197966,318.5436436,1253.630385,4173.765821,1.487628361,1.461769311,18.68084642,17.42221564,0.02205727,0.010350158,4.818421223,5.870656745,6.546452206,7.087969923,0.127272727,0.054545455,-0.37086399,-0.420947953,-0.444330362,26.61822224,314.1310512,22.73226053,126.5223273,72.20612412,0.760998944,1.720412656,1.274781331,0.275503481,0.770032681,0.683994555,1,3,64408,170106,45045,113205,100.0755634,138.2039091,304.3387865,15.47199861,466,449
WS,106.8443693,315,294.7674419,492.7342193,193.4352159,400.4518272,1.014516129,0.977543717,154.5780142,100.3156028,237.4078014,7.402634951,6.761025073,7.56094162,20.04275752,1.016647055,430.6816789,423.6294952,1262.015873,4215.713021,1.273583156,1.018974888,16.75357915,16.75357915,0.033156657,0.009490846,5.696808511,8.225177305,6.390147174,7.161842452,0.163120567,0.046099291,38.97428498,-1.190249178,-1.332875189,21.28783575,288.1973438,49.92580663,119.6399869,67.0143166,0.716174029,1.028671631,1.099822815,5.27421649,0.177126588,0.223907829,2,3,88725,148013,58224,120536,201.3686865,152.3121029,305.5828294,20.69449093,95,95
PS,93.59114037,762,35.64099037,164.7193948,77.52269601,213.1100413,1.20266223,0.848713167,35.00583516,54.41064916,121.671043,6.249203948,7.027565703,7.240787003,31.14880787,1.871580387,2193.448335,1171.976555,3048.124717,15824.24186,1.454963152,1.415037258,55.0398262,14.30690724,0.013880529,0.038698122,7.776730764,3.789387497,7.096211609,6.233319515,0.083333333,0.179039301,0.230696287,5.193086736,2.786818991,43.93736551,213.4730779,46.97266658,127.9281338,138.6934669,0.603493543,1.528860684,1.943912694,0.668934774,1.936145921,1.62993747,2,13,25911,119025,56359,154931,21.19878077,81.75838675,245.122043,28.7386326,77,344
PS,33.45847197,157,114.24,37.86,268.56,189.1466667,1.13836478,0.874849171,85.94339623,202.3207547,97.91320755,6.728688357,6.94202169,4.861645758,14.14880803,1.214965656,165.6305484,136.3252925,628.9115646,1483.058166,1.069283951,1.226476947,22.2068124,7.504974673,0.00854019,0.110871624,13.62564103,2.872934473,7.084820208,5.028344566,0.023076923,0.325925926,0.192396151,0.929113709,-1.420797965,18.1671477,223.0453764,30.78246401,95.19197218,59.42357415,0.565100372,1.186231625,1.686046885,0.848015413,0.96814451,0.394596119,2,3,17136,5530,40284,28372,81.90666884,196.306783,195.6187239,15.31500874,327,16
PS,80.55482741,1060,59.30533597,39.70750988,29.93478261,22.59090909,1.07376058,0.919058814,48.8127572,30.71193416,23.72736626,6.771935826,6.024449663,5.452416249,36.75060397,1.167644209,2845.427891,2436.896332,4243.056689,25989.14933,1.251241481,1.004133001,41.93643219,25.83820702,0.006456456,0.023388773,23.04642375,13.15227118,7.859874371,6.833847074,0.045128205,0.13003096,-0.196866509,-0.008127468,0.517560661,40.56334003,288.2387717,38.25268061,121.3061024,135.5492784,0.746920095,1.15857117,1.349360925,0.654668076,0.679860797,1.130544,7,26,60017,39173,30294,22862,47.88883549,23.31528396,24.77289408,35.01152202,22,50
WS,84.65403573,246,582.7957447,245.3446809,86.4,65.88085106,1.038539554,0.969827751,200.1177829,72.56120092,35.61893764,7.635006787,5.632882265,6.084398035,17.70957568,1.262645229,331.1036854,262.2301799,985.2947846,2908.192092,1.584840013,1.353767011,15.49200722,15.49200722,0.07645199,0.032624874,6.114593557,6.527394922,5.801393146,6.449431198,0.266055046,0.169724771,-0.948377364,1.287498568,-0.180978389,20.86406306,301.1751295,19.23563457,121.8608953,61.96802889,0.673871959,1.190882644,1.182681144,0.076364017,1.425262963,0.564283397,2,6,136957,57422,20304,15482,307.2961853,110.3515157,52.98681746,17.51983133,438,16
PS,139.4358155,178,25.51764706,2.252941176,65.77647059,7.829411765,1.513586957,0.818838756,38.41666667,58.67361111,12.88194444,5.618609119,6.551664245,2.60612902,15.06255637,2.683782405,297.008298,110.6678013,712.7664399,1789.347446,1.479635008,1.731837737,39.19751149,4.920368814,0.007097683,0.358207454,25.30289366,3.112056909,7.341352501,3.072676384,0.020689655,0.601398601,-0.325018182,0.662520168,3.160837147,27.86923538,288.7974908,29.31744313,131.5701657,88.23576062,0.429595409,1.87250285,3.212333869,0.504866611,0.890268981,1.974436232,1,4,4338,214,11182,1331,17.73140236,41.05287164,14.4005827,14.88341413,438,14
WS,123.7938706,223,375.0469484,293.1830986,112.1032864,464.5446009,1.011261261,0.985819842,124.2977099,78.97455471,281.8346056,7.502269362,5.413552423,6.766259887,16.86025063,1.115270811,268.5227731,240.7691212,893.0544218,2509.52023,1.332004856,1.29896667,14.19405534,14.19405534,0.085737288,0.025473449,4.467160468,8.883326427,5.375852141,6.578455584,0.289340102,0.137055838,-0.765524748,7.549969634,-1.20162081,18.73833939,249.1644887,38.55292031,114.0221318,56.77622136,0.699361822,1.099882236,1.102374678,-0.123165037,2.514234782,0.200492536,2,2,79885,62236,23878,98948,164.7808835,179.7915816,363.4998681,17.03667791,386,14
WS,140.9821226,193,65.08108108,345.8054054,16.32432432,18.25945946,1.044929397,0.952235939,50.89285714,18.25,20.29166667,6.499851258,3.226274306,3.26520921,15.71303539,1.525819545,254.232302,166.6201634,775.6575964,2031.322544,1.8071152,1.592298272,14.89833229,13.70181629,0.308815193,0.296051233,2.461309524,2.613095238,3.447058642,3.52944971,0.553571429,0.553571429,-0.542972938,1.09070633,0.796825519,20.46180304,252.0985748,24.09761423,118.1885919,57.20029715,0.638059051,1.377649106,1.275464383,0.255569676,1.470953678,1.456254965,1,8,12040,63790,3020,3378,34.30796801,25.60622185,28.73302516,14.85269577,104,13
WS,135.4516054,343,100.4786585,288.8262195,161.2713415,423.7621951,1.041636231,0.947483455,76.7086743,131.2062193,303.5040917,7.263204272,6.755223348,4.432803414,20.92238292,1.196612552,531.5071278,444.1764604,1375.219955,4795.479749,1.486450004,1.031262597,18.58162577,18.58162577,0.024448549,0.200250434,8.518498875,1.644814101,6.690417587,4.128877419,0.133986928,0.445901639,1.20140365,2.765093914,1.573556708,23.21109387,222.0228029,31.08741607,92.26015668,74.32650307,0.756708592,1.185789791,1.225443172,1.136844656,1.511085306,1.661513668,0,6,32957,94408,52897,138994,77.63944675,173.2649604,702.2262236,19.57437486,175,14
PS,9.622339148,226,30.20833333,40.2962963,64.25462963,106.9768519,1.539803708,0.828066603,38.45066667,41.16,61.47466667,5.849404404,6.433289803,6.443598617,16.97856963,2.547461368,414.4345754,162.685323,905.6326531,2562.72451,1.42549115,1.689510673,43.01439011,5.586424133,0.011762484,0.013951122,10.71754466,6.996970645,7.032399158,6.770165242,0.069518717,0.090425532,-0.49188817,0.4177384,-1.291592831,30.48808266,214.1080988,27.47169229,97.34752008,97.20162848,0.428487037,1.75916199,3.128866042,0.518712637,0.790447541,0.163873625,1,5,6525,8489,13879,23107,20.16891918,48.57740079,80.67455437,17.33102627,341,15
PS,163.9498044,276,110.9431818,436.8295455,192.9015152,317.2424242,1.074817518,0.967210681,69.70781893,118.8271605,198.4074074,7.042032235,7.411694049,7.088865523,18.77051498,2.569361171,562.3931458,218.8844263,1106.884354,3462.798224,1.727694974,1.470944363,25.92402041,11.07864225,0.009037812,0.01288387,10.23910169,9.238932203,7.135076544,6.952619414,0.036,0.088,0.884897543,1.417512315,-0.240749837,30.37985795,246.5383457,26.69768604,120.8165466,74.00532532,0.675141014,2.251768359,1.517485722,0.86267886,1.11679778,0.569814282,3,6,29289,115060,50926,83752,62.64105742,145.4331232,237.7137673,13.49155557,412,27
WS,84.39606791,809,31.04145078,102.8018135,40.73834197,202.9831606,1.582527301,0.868440078,42.70034843,26.15121951,111.2885017,6.081859014,6.226899884,7.288341318,32.0983623,2.896199015,2985.806792,1030.939786,3236.798186,17315.98681,1.011313527,1.366651095,82.82722156,10.13989084,0.021101204,0.036563132,7.653256236,4.806404637,6.940026178,6.361986422,0.124645892,0.17558299,-0.139313415,0.449481026,0.227476746,66.92940166,249.1777311,28.11284759,110.4631335,185.9342248,0.446275122,2.470477664,3.275667897,0.525299604,0.812485422,0.991019428,6,11,23964,78592,31450,156703,20.44348565,34.46427799,207.7276415,27.0916846,331,36
PS,167.9310456,439,236.2291169,414.3508353,130.4319809,557.7326969,1.05875576,0.95009521,97.55400254,70.40025413,289.4396442,7.976074602,5.964962531,7.406863078,23.6472823,1.37618992,822.9657688,598.0030494,1756.759637,6923.765179,1.123679971,1.378001427,25.07933103,18.13894868,0.091536632,0.024526473,3.249266938,7.095998837,5.491074885,6.740249859,0.292191436,0.135897436,-0.949130362,2.495680107,-0.795034812,30.96082116,279.4401997,29.97157573,108.9673503,86.43655942,0.629809011,1.374616201,1.306936376,0.417601354,1.534692284,0.282794347,4,4,98980,173195,54651,233690,149.6343994,150.4688362,426.9843247,22.52324768,211,23
WS,139.6537014,645,65.54545455,1.915584416,162.5357143,97.36201299,2.520182788,0.661171434,60.64954128,118.8954128,62.57614679,7.072454024,7.910362521,5.107904665,28.67243524,2.070446407,1799.387153,869.0817336,2582.730159,12342.19387,1.727895738,1.385960108,113.5855627,6.058288167,0.007563599,0.156473865,11.97459,2.41242858,7.545415256,4.644298255,0.047358834,0.389799636,3.163258238,4.950130766,1.243475078,60.06535651,231.267818,24.93139112,113.792621,239.2877017,0.283896231,1.586312337,6.62148285,1.693649815,1.991379529,1.521329578,4,9,40376,565,100122,59975,59.54631951,152.9568482,142.4264692,37.86477298,457,110
WS,53.05501817,172,116.7090909,399.169697,20.23636364,43.83030303,1.055232558,0.963182089,59.17333333,20.13333333,43.21333333,6.616935908,1.679336978,2.873370896,14.83939505,1.254192654,194.1465123,154.7979983,691.8027211,1710.988979,1.702431361,1.755158646,13.25807479,13.25807479,0.612130205,0.389888718,0.239521757,1.360749367,1.609251413,2.863281998,0.785234899,0.630872483,-0.439076023,7.515811909,2.996436822,17.60897202,222.8535379,23.34644918,94.60941506,53.03229916,0.639555473,1.146631721,1.24137129,-0.015714298,2.901131814,1.949073739,0,3,19257,65699,3339,7232,49.0364142,53.51135715,81.72085704,15.35712967,267,24
PS,10.15424994,172,101.7454545,74.13333333,249.2363636,132.2787879,1.15451895,0.943153899,71.3973064,154.1717172,92.7037037,6.680513029,7.041161702,4.0625145,14.83939505,2.255950162,260.3827547,115.4204375,691.8027211,1710.988979,1.759216364,1.651421502,21.54303713,8.344407884,0.008750146,0.197859608,10.45222323,2.68362069,7.098307993,4.283031486,0.032894737,0.453947368,0.183083024,0.083828595,-1.078393035,21.23844408,351.4160139,66.6735073,137.9725397,59.77489003,0.716126422,1.86772451,1.581694773,0.738898434,0.657625529,0.734757046,1,3,16788,12068,41124,21826,62.12788907,166.273666,162.7362837,11.37129377,487,39
PS,171.2393349,251,165.425,272.9708333,108.5125,534.3,1.051689861,0.959424599,82.7239819,75.49321267,374.5022624,7.186752731,6.427686518,7.147161541,17.89698382,1.102984507,319.3913272,289.5700939,1006.258503,3001.498692,1.187127812,1.471547444,16.00391198,16.00391198,0.030140001,0.013463086,4.810135135,8.927129402,6.34056312,6.964359131,0.15,0.081818182,-1.100002679,1.7669818,-1.040234399,20.39323211,302.320291,30.44004553,134.4647709,64.01564793,0.671531085,1.110167919,1.237039405,-0.086889032,1.529896933,0.387670089,2,2,39702,65274,26043,128232,84.88891393,126.0409319,432.7523753,18.36950227,85,12
PS,27.51725917,170,27.45398773,2.987730061,60.26380368,34.41717791,1.202877698,0.931120664,36.01730104,49.03460208,24.57785467,5.699205531,6.294657372,5.288731669,14.74918512,2.343958325,260.6020933,111.1803442,683.4172336,1679.974549,1.735295134,1.191186589,23.23284031,7.839003101,0.008197966,0.045667666,13.11538462,7.451719513,7.131564762,5.988528446,0.020547945,0.198630137,2.137948713,3.040427055,0.127922467,22.01997243,246.049785,22.89307691,99.23117098,62.14368683,0.624268992,1.771655882,1.687401572,1.160206345,1.523460489,0.918160616,1,8,4475,325,9823,5610,21.42334099,51.39093857,32.3324024,12.4290347,253,18
PS,89.34556997,431,55.40048544,61.11893204,117.1674757,186.9174757,1.700288184,0.854508484,58.80296896,102.2874494,103.974359,6.69331112,7.326109284,6.731183736,23.44891933,3.524425154,1284.137476,364.3537371,1727.410431,6750.98464,1.325641754,1.402815886,63.70979189,7.136275892,0.006969291,0.036147132,12.32147857,6.51877734,7.475483894,6.301315024,0.023622047,0.181102362,5.735407143,4.698906744,-0.944403003,51.17544339,279.6307156,32.82583049,113.4183841,141.6921356,0.407723565,2.472597895,3.513995785,2.227894121,2.072462017,0.403833905,4,7,22825,24770,48273,77010,57.61962904,129.9645718,160.2798765,20.69703428,465,26
PS,100.8470639,169,237.4506173,450.6419753,246.7283951,299.462963,1.038461538,0.977512595,90.57142857,124.3537415,286.8911565,6.946180636,6.130931805,5.467666716,14.70387262,1.638772551,215.900383,131.745179,679.2244898,1664.538396,1.077903082,1.519803941,13.25807479,13.25807479,0.033439506,0.059389641,5.086666667,6.6925,6.083086591,5.699585581,0.173333333,0.243055556,-0.941749832,1.772400168,2.653420606,19.2553209,327.0289356,48.12993798,135.0957699,53.03229916,0.730856088,1.595805824,1.263407467,-0.173151255,1.066789485,1.704978309,2,3,38467,72843,39970,48513,106.2491861,211.129766,374.0525503,12.06620543,50,14
PS,7.621159756,203,33.70618557,87.23195876,73.96907216,76.54639175,1.387755102,0.865498949,40.82300885,65.40117994,54.52212389,5.909008336,6.320425061,6.259041805,16.09070562,3.112828318,389.9435397,125.269851,813.3922902,2181.342649,1.309016293,1.676318728,35.02650217,6.231987457,0.013138855,0.014413444,11.07037398,12.16045686,6.921209464,6.907397014,0.078313253,0.092485549,0.914541854,1.843425466,-0.656039923,28.95656386,266.1719596,36.65752824,106.5977395,82.51697926,0.552382859,2.277687736,2.48228055,1.203592452,1.418453049,0.250008236,0,8,6539,16730,14350,14850,29.67506612,69.97834033,55.3774342,12.71314035,163,18
